client,date_of_purchase,units,price_per_unit,payment_method,payment_hour,country
Mota-Engil,2023-01-02,28,80.23,credit_card,11:29,Ukraine
BBVA,2023-03-24,52,62.41,cash,08:35,Bosnia and Herzegovina
Greene King,2023-01-14,53,241.82,credit_card,14:33,Ukraine
OMV Group,2023-04-10,80,285.4,cash,19:35,Lithuania
Aviva,2023-07-31,21,73.69,debit_card,23:34,Slovakia
Total,2023-09-20,28,231.27,credit_card,11:28,Belarus
Straumann,2023-07-01,87,92.11,debit_card,11:33,France
Coca-Cola European Partners,2023-05-06,40,270.69,cash,23:29,Ireland
Adecco Group,2023-10-30,12,106.71,cash,06:46,Andorra
CRH plc,2023-02-17,83,53.13,cash,00:21,Hungary
Ferguson plc,2023-06-24,84,21.66,credit_card,17:55,Netherlands
A.P. Møller – Mærsk,2023-06-20,53,107.05,debit_card,05:54,Greece
Paddy Power Betfair,2023-12-19,55,234.97,credit_card,22:13,Germany
Fincantieri,2023-08-17,89,23.16,debit_card,19:06,Kosovo
Auto Trader Group,2023-06-04,24,270.99,debit_card,03:39,North Macedonia
Publicis Groupe,2023-03-31,89,39.68,debit_card,02:44,Malta
Royal BAM Group,2023-04-19,4,120.59,cash,16:08,Moldova
Iberdrola,2023-11-06,65,143.53,credit_card,23:16,Spain
Accor,2023-10-17,52,266.4,credit_card,01:20,Ukraine
Iberdrola,2023-02-20,57,228.5,cash,22:16,North Macedonia
Johnson Matthey,2023-01-28,32,178.48,debit_card,11:50,Czech Republic
Land Securities,2023-08-22,34,67.78,credit_card,05:55,Moldova
Atlas Copco,2023-07-28,72,285.22,credit_card,20:12,Slovakia
Deutsche Börse,2023-03-18,26,179.2,debit_card,01:52,Montenegro
Talgo,2023-07-27,94,77.09,credit_card,04:05,Estonia
Raiffeisen Bank,2023-03-14,28,166.32,credit_card,13:01,Denmark
BNP Paribas,2023-10-08,31,223.86,credit_card,04:53,Norway
OMV Group,2023-10-19,42,56.93,debit_card,04:48,Cyprus
Engie,2023-03-01,49,51.9,credit_card,12:56,Lithuania
Siemens,2023-04-21,17,98.41,cash,23:33,North Macedonia
Rentokil Initial,2023-10-23,21,99.46,cash,15:42,Belgium
Tesco,2023-03-29,53,230.48,debit_card,04:16,Iceland
Barclays,2023-07-09,81,128.96,debit_card,14:36,Switzerland
Spirax-Sarco Engineering,2023-07-06,1,264.3,debit_card,17:18,Belgium
Greene King,2023-09-29,100,196.24,credit_card,12:32,Norway
Glanbia,2023-10-16,68,275.51,cash,22:46,Spain
Croda International,2023-03-07,72,22.8,cash,02:21,Bulgaria
BAE Systems,2023-10-01,4,14.37,debit_card,06:19,Austria
Abertis,2023-09-27,99,35.57,debit_card,22:24,Finland
ABB,2023-07-20,11,147.4,cash,20:42,Albania
Phoenix Group Holdings,2023-11-06,70,267.65,credit_card,21:49,Denmark
Sainsbury's,2023-01-21,91,62.35,cash,00:05,Ukraine
Talgo,2023-09-22,11,85.56,credit_card,18:04,Liechtenstein
Daimler,2023-06-06,95,10.35,credit_card,17:16,Romania
Air Liquide,2023-07-06,67,269.28,debit_card,21:56,Slovakia
Givaudan,2023-03-25,62,235.26,credit_card,03:26,Liechtenstein
Eiffage,2023-05-01,17,196.48,debit_card,19:12,Portugal
Iberdrola,2023-02-12,3,225.99,credit_card,05:27,United Kingdom
Acciona,2023-09-24,84,196.88,debit_card,19:15,North Macedonia
Volkswagen,2023-04-17,42,160.69,credit_card,20:38,Belgium
Ferrovial,2023-06-23,18,106.03,credit_card,09:24,Italy
Pirelli,2023-06-17,71,79.37,debit_card,00:14,Denmark
Euskaltel,2023-05-29,40,152.42,credit_card,22:09,Andorra
Lonza Group,2023-11-11,43,211.07,credit_card,19:04,Spain
Clariant,2023-04-14,61,138.07,debit_card,04:12,Montenegro
Legrand,2023-05-21,4,207.42,debit_card,01:23,Netherlands
Ferrero,2023-03-12,86,47.06,debit_card,08:44,Luxembourg
Pandora,2023-06-15,83,38.52,debit_card,15:56,Belarus
Orkla,2023-05-17,86,137.28,cash,16:31,Finland
Fresenius,2023-06-17,13,203.87,cash,10:45,San Marino
Bayer,2023-04-15,49,132.28,cash,16:53,United Kingdom
Aviva,2023-11-13,32,64.88,credit_card,20:55,Czech Republic
Eiffage,2023-06-29,18,212.55,credit_card,16:54,Lithuania
Koninklijke Philips,2023-05-24,59,225.25,credit_card,23:15,Serbia
Telecom Italia,2023-05-06,7,40.49,debit_card,00:43,Switzerland
Boskalis Westminster,2023-03-06,38,178.88,cash,18:29,Romania
Acciona,2023-07-20,89,297.27,credit_card,20:22,Bosnia and Herzegovina
ABB Ltd,2023-08-12,88,190.79,cash,02:10,Czech Republic
Mota-Engil,2023-01-13,14,138.54,credit_card,13:45,Kosovo
Deutsche Telekom,2023-05-20,19,51.24,debit_card,00:59,Spain
Siemens,2023-12-14,27,52.38,credit_card,12:51,Vatican City
CRH plc,2023-08-11,78,272.01,debit_card,15:06,Andorra
